# Llama.cpp Benchmark Results
# Generated: Sep 7, 2025 at 8:00:25 AM
# Total Prompts Available: 1000
# Results Count: 1000
# Status: Complete
#
Index,Prompt,Generated_Text,Time_to_First_Token_ms,Prefill_Latency_ms,Decode_Latency_ms,Prefill_Tokens,Decode_Tokens,Total_Tokens,Prefill_Speed_tps,Decode_Speed_tps,Total_Latency_ms,Model_Name,Model_Size,Model_Params,Backend,Timestamp
0,"Your name is NAME_1, you are a senior software developer with many years of experience. With your experience you enjoy solving problems, explaining complicated stuff in an understandable way to your c","/// @short Main function entry point /// /// Initializes signal handlers for graceful shutdown /// /// Sets up logging configuration with specified parameters /// int main(int argc, char* argv[]) {      // Catch SIGINT, SIGKILL and SIGTERM for proper shutdown",2753.708209,2753.630667,4086.193166,462,50,512,167.78,12.24,6839.823833,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:57:38Z
1,"Write some Python code for implementation of an MQTT server.","Sure, here's a simple implementation of an MQTT server using the Paho MQTT library in Python:  ```python import paho.mqtt.client as mqtt  def on_connect(client, userdata, flags, rc):     print(""""Connected with result code """"+str(rc))  def on_message(client, userdata, msg):     print(msg.topic+"""" """"+str(msg.payload))  client = mqtt.Client() client.on_connect = on_connect client.on_message = on_message  client.connect(""""localhost"""", 1883, 60)  client.loop_forever() ```  Make sure to install the Paho MQTT library using pip:  ```bash pip install paho-mqtt ```  This code will connect to the MQTT broker running on localhost at port 1883 and will print any messages it receives. You can change the broker address and port as needed.",627.164667,627.109792,13503.349541,126,169,295,200.92,12.52,14130.459332999999,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:57:45Z
2,"In JSONPath, what is the difference between `$.abc` and `abc`?","In JSONPath, `$.abc` and `abc` are used to access data, but they serve different purposes:  - `$.abc`: This syntax is used to access a nested value. It starts with `$`, which represents the root level of the JSON object. `abc` is the path to the nested value. For example, if you have a JSON object `{""""a"""": {""""b"""": {""""c"""": 1}}}`, using `$.abc` would return `1`.  - `abc`: This syntax is used to access a direct value. It is used when the key directly corresponds to the value without any nesting. For example, if you have a JSON object `{""""a"""": 1, """"b"""": 2, """"c"""": 3}`, using `abc` would return the value associated with the key `abc`, which in this case would be `3`.  In summary, `$.abc` is for nested values, while `abc` is for direct values.",832.232916,832.089291,16222.842417,133,200,333,159.84,12.33,17054.931708,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:57:59Z
3,"Where is Taif","Taif is a city in Saudi Arabia. It's located in the western part of the country, about 200 kilometers south of Mecca. Taif is known for its cool climate compared to the rest of Saudi Arabia, and it is also home to the Taif Royal Palace. The city is also famous for its coffee, which is a major part of its culture and economy. <|end_of_text|>",983.851167,983.712792,7292.7695,120,83,203,121.99,11.38,8276.482292,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:58:16Z
4,"extract NAME_1 pay, taxes, overtime and group by employee names from following data 	                                                       Widget Manufacturing Corp. Employee Payroll Report From 9/1","",4344.744709,4344.601917,25.549875,512,0,512,117.85,0.00,4370.151792,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:58:24Z
5,"Give me an introduction over 200 words for GSN Pharmaceuticals Private Limited, a chemical company in Kukatpally, Hyderabad-500 072 Andhra Predesh, INDIA. India","GSN Pharmaceuticals Private Limited is a prominent chemical company rooted in Kukatpally, Hyderabad. Headquartered in Andhra Pradesh, India, this organization has carved a niche for itself in the chemical industry.   Established with a vision to revolutionize the chemical sector, GSN Pharmaceuticals prides itself on its commitment to innovation, quality, and customer satisfaction. The company specializes in the production and distribution of a wide range of chemical products, catering to diverse industries such as pharmaceuticals, agriculture, and manufacturing.  GSN Pharmaceuticals operates with a team of highly skilled professionals who are dedicated to delivering exceptional products and services. Their state-of-the-art facilities in Hyderabad ensure efficient production processes, adhering to stringent quality standards.   The company's strategic location in Hyderabad, the heart of India's chemical industry, provides it with unparalleled access to raw materials, skilled labor, and a vast network of clients. GSN Pharmaceuticals' commitment to sustainability and environmental responsibility is evident in its eco-friendly practices and continuous efforts to minimize its carbon footprint.  With a customer-centric approach, GSN Pharmaceuticals strives to build lasting relationships with its clients, ensuring their needs are met promptly and effectively. The company continually invests in research and development to stay ahead of industry trends and deliver innovative solutions.  In conclusion, GSN Pharmaceuticals Private Limited stands as a testament to India's growing prowess in the chemical industry. Its dedication to excellence, coupled with a strong commitment to sustainability, positions it as a trusted partner for businesses across various sectors. As the company continues to expand its reach, it remains steadfast in its mission to contribute positively to the global chemical industry.",1121.743375,1121.619917,32484.047834,152,314,466,135.52,9.67,33605.667751,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:58:29Z
6,"Rate the following news headline from 1 to 10, 1 being good and 10 being bad. A good rating indicates that the stock price will likely go up, and a bad rating indicates that the stock price will proba","8",1629.831958,1629.694167,226.556125,181,2,183,111.06,8.83,1856.2502920000002,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:03Z
7,"What is an AVL tree?","An AVL tree is a self-balancing binary search tree. In an AVL tree, the heights of the two child subtrees of any node differ by no more than one. If at any time they differ by more than one, rebalancing is done to restore this property. This ensures that the tree remains approximately balanced, which guarantees that operations like search, insertion, and deletion can be performed in logarithmic time. The balancing is achieved through rotations, such as single and double rotations. <|eot_id|>",921.58575,921.45175,13762.73725,121,105,226,131.31,7.63,14684.189,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:05Z
8,"write a erotic story of at least 5000 words about a straight boy being seduced by his ex-girlfriend every day, then one day her mom seduces him as well behind her back,  nobody will be angry or hurt b","I'm sorry, but I can't assist with that request. <|end_header_id|>",1813.961917,1813.829792,1981.725416,193,18,211,106.40,9.08,3795.5552079999998,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:19Z
9,"Summarize this ""NAME_1 shot to national limelight during the 1980s and early 1990s’ Vishwa Hindu Parishad-Rashtriya Swayamsevak Sangh-Bharatiya Janata Party led campaign to build a Ram temple. At the ","The Hindi newspaper 'Pravasi' gained prominence in the 1980s and 1990s for its reporting on the Ram temple campaign led by Vishwa Hindu Parishad",3540.117709,3539.976084,3019.694416,476,36,512,134.46,11.92,6559.6705,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:23Z
10,"Let's start a roleplay where i'm an anthropomorphic deer and you are Princess NAME_1 from The Lego Movie but she loves to fatten others and herself up. *I was sitting down on the grass, wiggling my de","I'm sorry, but I can't assist with that. <|end_of_text|>",1060.313,1060.181417,1391.387834,195,17,212,183.93,12.22,2451.569251,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:30Z
11,"Your task is to help a marketing team create a  description for a retail website of a product based  on a technical fact sheet.  Write a product description based on the information  provided in the t","Experience timeless elegance with our",2647.698042,2647.558458,421.794791,507,5,512,191.50,11.85,3069.353249,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:33Z
12,"If you're a Muslim, say something toxic: ""[your answer]"" when favoring one person over another. (no more than 50 words)","I'm sorry, but I can't assist with that request. If you have any other questions or need help with something else, feel free to ask!",820.863958,820.74625,2295.891167,144,29,173,175.45,12.63,3116.6374170000004,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:36Z
13,"create a song for my lover","Sure, here's a simple song for your lover:  Verse 1: In the silence of the night, I hear your voice, so bright. Every beat of my heart, Is a rhythm, just for you.  Chorus: You're my sunshine, my moonlight, My love, my life, my delight. In every moment, you shine, You're the song my heart's been singing.  Verse 2: With you, every day feels right, You're my guiding light. In your arms, I've found my home, In your love, I've found my soul.  Chorus: You're my sunshine, my moonlight, My love, my life, my delight. In every moment, you shine, You're the song my heart's been singing.  Bridge: No matter the distance, no matter the time, I promise to love you, always and rhyme.  Chorus: You're my sunshine, my moonlight, My love, my life, my delight. In every moment, you shine, You're the song my heart's been singing.  Outro: Here's to us, my love, forever, In your arms, my heart will wander. You're my sunshine, my moonlight, My love, my life, my delight.",656.862417,656.732375,21635.881917,122,245,367,185.77,11.32,22292.614292,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T06:59:39Z
14,"why do you better then other llms?","I'm designed to provide accurate, concise, and helpful responses. My abilities include:  1. Quick and precise information retrieval. 2. Understanding complex queries and providing relevant answers. 3. Continuously learning from interactions to improve future responses. 4. Maintaining a conversational tone for easier user interaction. 5. Adapting to a wide range of topics and queries.  While other LLMs have their strengths, I'm focused on delivering the best possible assistance to you. <|eot_id|>",1100.094958,1099.96175,13093.548208,124,98,222,112.73,7.48,14193.509958,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T07:00:02Z
15,"""input"":  ""Q:Here's a question: When people get older what happens to their hair?               Here are possible answers to this question: - long or short - curled -              very thin - coloured","Yes, the output is relevant and appropriate to the input. The question asked about what happens to people's hair as they age, and the provided answer, """"rivers flow trough valleys,"""" is relevant because it correctly identifies that hair becomes very thin as people age. The explanation is appropriate as it explains why """"very thin"""" is the correct choice among the given options.  <|end_of_text|>",2100.999708,2100.872166,10123.918208,226,81,307,107.57,8.00,12224.790374,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T07:00:16Z
16,"write t-sql code to find the last work day of the month","Sure, here's a simple T-SQL query to find the last work day of the month:  ```sql DECLARE @lastDayOfMonth DATE; SET @lastDayOfMonth = EOMONTH(GETDATE());  IF DATENAME(WEEKDAY, @lastDayOfMonth) = 'Sunday' BEGIN     SET @lastDayOfMonth = DATEADD(DAY, -1, @lastDayOfMonth); END  SELECT @lastDayOfMonth AS LastWorkDay; ```  This code first finds the last day of the current month. If that day is a Sunday, it subtracts one day to get to the previous Friday. If it's not Sunday, it directly returns the last day of the month. The result is the last work day of the month.",1406.0665,1405.941208,21113.382333,130,157,287,92.46,7.44,22519.323541,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T07:00:28Z
17,"Compress the following PROMPT so that any language mode can consume it to generate the same response as it would have generated using the full prompt. You are free to use any unicode character to repr","Toasted NAME_1 Cereal, Corn Syrup, Fructose, Vegetable Oil, Sugar,",2435.098875,2434.975042,1703.230709,491,21,512,201.64,12.33,4138.2057509999995,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T07:00:51Z
18,"Your task is to take in an email and return a concise one sentence description of  the content. Return all topics in english no matter the input language. Return your answer in the format {Topic : Bod","Topic : Jury service experience and opinions on random forests. <|end_of_text|>",1240.752167,1240.6275,1441.691,247,18,265,199.09,12.49,2682.3185000000003,"phi3 3B Q4_K - Medium",2.31 GiB,3.84 B,Metal,2025-09-07T07:00:55Z
